"row ID","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed"
"18",37,"blue-collar","married","basic.6y","no","yes","yes","telephone","may","mon",143,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"19",35,"blue-collar","married","unknown","no","yes","no","telephone","may","mon",267,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"20",45,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","mon",461,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"21",43,"unemployed","single","university.degree","no","yes","no","telephone","may","mon",240,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"22",40,"admin.","married","university.degree","unknown","yes","no","telephone","may","mon",163,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"23",60,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","mon",301,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"24",39,"services","divorced","high.school","unknown","yes","no","telephone","may","mon",52,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"25",54,"management","divorced","university.degree","no","yes","no","telephone","may","mon",843,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"26",43,"blue-collar","married","high.school","unknown","no","yes","telephone","may","mon",181,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"27",42,"admin.","single","university.degree","unknown","no","no","telephone","may","mon",192,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"28",44,"services","married","high.school","no","yes","yes","telephone","may","mon",107,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"29",41,"technician","married","professional.course","no","no","no","telephone","may","mon",412,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"30",35,"student","single","university.degree","unknown","yes","yes","telephone","may","mon",217,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"31",39,"blue-collar","married","professional.course","unknown","yes","no","telephone","may","mon",471,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"32",50,"housemaid","married","basic.4y","unknown","no","no","telephone","may","mon",287,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"33",40,"technician","married","basic.9y","no","no","no","telephone","may","mon",168,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"34",39,"admin.","married","professional.course","no","yes","no","telephone","may","mon",580,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"35",44,"admin.","married","professional.course","no","yes","no","telephone","may","mon",300,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"36",43,"management","married","university.degree","unknown","no","yes","telephone","may","mon",213,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"37",36,"technician","single","professional.course","no","no","no","telephone","may","mon",124,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"38",33,"services","divorced","unknown","no","no","no","telephone","may","mon",181,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"39",33,"services","single","high.school","no","no","no","telephone","may","mon",702,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"40",36,"technician","married","professional.course","no","yes","no","telephone","may","mon",232,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"41",58,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","mon",179,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"42",45,"management","married","basic.9y","no","no","yes","telephone","may","mon",46,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"43",33,"admin.","married","high.school","no","no","yes","telephone","may","mon",50,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"44",43,"admin.","divorced","basic.9y","no","no","no","telephone","may","mon",73,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"45",27,"blue-collar","single","basic.6y","no","no","no","telephone","may","mon",350,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"46",54,"management","divorced","university.degree","no","no","no","telephone","may","mon",611,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"47",47,"management","divorced","university.degree","no","no","no","telephone","may","mon",89,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"48",55,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","mon",102,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"49",56,"technician","married","basic.4y","no","yes","no","telephone","may","mon",143,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"50",31,"admin.","married","high.school","no","yes","yes","telephone","may","mon",286,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"51",38,"unknown","married","unknown","unknown","no","no","telephone","may","mon",362,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"52",42,"admin.","married","high.school","no","yes","no","telephone","may","mon",248,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"53",40,"admin.","married","basic.6y","unknown","yes","no","telephone","may","mon",215,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"54",57,"housemaid","divorced","basic.4y","no","yes","yes","telephone","may","mon",205,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"55",58,"blue-collar","married","professional.course","unknown","yes","no","telephone","may","mon",214,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"56",26,"admin.","single","university.degree","no","yes","no","telephone","may","mon",231,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"57",41,"blue-collar","single","basic.9y","unknown","yes","no","telephone","may","mon",421,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"58",33,"entrepreneur","married","university.degree","no","yes","no","telephone","may","mon",130,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"59",38,"services","married","high.school","no","yes","no","telephone","may","mon",347,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"60",32,"blue-collar","married","basic.9y","no","no","no","telephone","may","mon",98,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"61",42,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","tue",190,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"62",56,"management","divorced","high.school","no","no","no","telephone","may","tue",218,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"63",22,"blue-collar","single","basic.9y","no","yes","no","telephone","may","tue",195,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"64",49,"admin.","married","university.degree","no","yes","yes","telephone","may","tue",18,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"65",41,"self-employed","married","university.degree","no","no","no","telephone","may","tue",402,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"66",48,"housemaid","married","basic.6y","unknown","yes","yes","telephone","may","tue",501,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"67",42,"admin.","married","high.school","no","no","no","telephone","may","tue",69,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"68",36,"technician","married","professional.course","no","no","no","telephone","may","tue",769,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"69",52,"services","single","high.school","no","no","no","telephone","may","tue",455,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"70",39,"management","married","university.degree","unknown","no","no","telephone","may","tue",496,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"71",30,"self-employed","single","university.degree","no","yes","no","telephone","may","tue",262,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"72",27,"services","single","professional.course","no","yes","yes","telephone","may","tue",271,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"73",51,"services","married","unknown","unknown","no","no","telephone","may","tue",141,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"74",57,"technician","married","basic.4y","unknown","no","yes","telephone","may","tue",50,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"75",57,"technician","married","basic.4y","unknown","no","no","telephone","may","tue",238,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"76",40,"admin.","married","high.school","no","no","no","telephone","may","tue",243,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"77",48,"unemployed","single","basic.4y","no","yes","no","telephone","may","tue",112,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"78",54,"housemaid","married","basic.4y","no","no","no","telephone","may","tue",262,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"79",42,"technician","single","professional.course","unknown","unknown","unknown","telephone","may","tue",529,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"80",31,"admin.","divorced","high.school","no","no","no","telephone","may","tue",47,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"81",57,"blue-collar","divorced","basic.4y","no","no","no","telephone","may","tue",30,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"82",39,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","tue",114,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"83",49,"unknown","married","unknown","unknown","yes","no","telephone","may","tue",288,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"84",54,"management","married","basic.6y","unknown","yes","yes","telephone","may","tue",381,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"85",34,"technician","married","university.degree","no","yes","no","telephone","may","tue",226,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"86",41,"services","married","basic.9y","no","no","no","telephone","may","tue",157,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"87",32,"admin.","single","university.degree","unknown","unknown","unknown","telephone","may","tue",49,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"88",31,"services","married","high.school","unknown","unknown","unknown","telephone","may","tue",374,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"89",51,"admin.","married","basic.6y","unknown","yes","no","telephone","may","tue",531,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"90",56,"entrepreneur","married","university.degree","unknown","no","no","telephone","may","tue",153,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"91",51,"services","divorced","high.school","unknown","yes","no","telephone","may","tue",568,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"92",48,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue",128,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"93",42,"housemaid","single","basic.4y","unknown","yes","no","telephone","may","tue",198,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"94",38,"admin.","married","high.school","no","no","no","telephone","may","tue",145,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"95",39,"technician","divorced","university.degree","no","no","no","telephone","may","tue",73,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"96",44,"admin.","married","high.school","no","no","no","telephone","may","tue",263,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"97",41,"services","married","high.school","unknown","yes","yes","telephone","may","tue",41,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"98",35,"blue-collar","married","basic.9y","no","no","no","telephone","may","tue",79,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"99",41,"technician","married","high.school","no","no","no","telephone","may","tue",358,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"100",38,"admin.","single","basic.6y","unknown","no","no","telephone","may","tue",250,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"101",30,"self-employed","single","high.school","no","yes","no","telephone","may","tue",123,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"102",43,"admin.","married","professional.course","no","yes","yes","telephone","may","tue",161,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"103",34,"admin.","single","university.degree","no","yes","yes","telephone","may","tue",26,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"104",38,"blue-collar","single","basic.4y","unknown","no","no","telephone","may","tue",87,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"105",36,"technician","married","unknown","no","no","no","telephone","may","tue",105,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"106",43,"unemployed","married","university.degree","unknown","unknown","unknown","telephone","may","tue",87,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"107",56,"retired","married","basic.4y","unknown","yes","yes","telephone","may","tue",316,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"108",45,"housemaid","married","high.school","no","no","no","telephone","may","tue",352,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"109",33,"technician","married","professional.course","no","yes","no","telephone","may","tue",219,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"110",46,"management","married","university.degree","no","no","no","telephone","may","tue",407,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"111",42,"technician","married","basic.9y","no","no","no","telephone","may","tue",209,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"112",47,"blue-collar","married","basic.9y","no","no","no","telephone","may","tue",285,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"113",46,"blue-collar","married","basic.6y","no","yes","no","telephone","may","tue",147,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"114",41,"admin.","married","high.school","no","no","no","telephone","may","tue",635,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"115",38,"admin.","married","university.degree","no","yes","no","telephone","may","tue",802,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"116",41,"technician","married","basic.6y","no","yes","no","telephone","may","tue",381,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"117",52,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue",57,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"118",47,"technician","married","professional.course","no","no","no","telephone","may","tue",79,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"119",46,"blue-collar","married","basic.9y","no","yes","no","telephone","may","tue",145,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"120",30,"technician","married","professional.course","no","no","no","telephone","may","tue",252,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"121",34,"technician","married","university.degree","no","no","no","telephone","may","tue",116,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"122",45,"technician","single","professional.course","no","yes","no","telephone","may","tue",37,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"123",49,"housemaid","married","basic.4y","unknown","unknown","unknown","telephone","may","tue",524,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"124",36,"technician","single","professional.course","no","no","no","telephone","may","tue",211,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"125",37,"blue-collar","married","high.school","no","no","no","telephone","may","tue",191,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"126",36,"technician","married","basic.9y","unknown","yes","no","telephone","may","tue",284,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"127",33,"services","married","basic.4y","no","no","no","telephone","may","tue",202,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"128",42,"admin.","single","unknown","no","yes","no","telephone","may","tue",339,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"129",46,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","tue",467,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"130",54,"admin.","married","high.school","no","no","no","telephone","may","tue",65,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"131",56,"management","married","university.degree","unknown","no","no","telephone","may","tue",191,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"132",48,"services","single","high.school","unknown","yes","no","telephone","may","tue",196,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"133",44,"admin.","married","high.school","no","yes","no","telephone","may","tue",221,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"134",45,"services","married","high.school","no","yes","no","telephone","may","tue",178,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"135",38,"blue-collar","married","basic.9y","no","yes","no","telephone","may","tue",276,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"136",42,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","tue",114,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"137",38,"self-employed","divorced","basic.9y","no","yes","no","telephone","may","tue",95,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"138",36,"blue-collar","married","basic.9y","no","yes","no","telephone","may","tue",285,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"139",35,"student","single","university.degree","unknown","no","no","telephone","may","tue",172,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"140",45,"technician","married","university.degree","no","no","no","telephone","may","tue",152,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"141",46,"services","married","basic.6y","no","no","no","telephone","may","tue",32,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"142",42,"admin.","married","university.degree","no","yes","no","telephone","may","tue",254,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"143",56,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue",214,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"144",43,"entrepreneur","married","basic.4y","no","yes","no","telephone","may","tue",147,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"145",48,"entrepreneur","married","university.degree","no","yes","no","telephone","may","tue",222,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"146",41,"technician","single","university.degree","unknown","no","no","telephone","may","tue",160,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"147",36,"services","married","high.school","no","yes","no","telephone","may","tue",128,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"148",29,"admin.","single","university.degree","no","no","no","telephone","may","tue",122,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191.0
"149",46,"blue-collar","married","basic.4y","no","no","no","telephone","may","wed",117,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"150",38,"technician","married","unknown","unknown","unknown","unknown","telephone","may","wed",162,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"151",33,"blue-collar","married","basic.9y","no","unknown","unknown","telephone","may","wed",141,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"152",30,"services","married","high.school","unknown","yes","no","telephone","may","wed",502,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"153",50,"technician","married","professional.course","no","yes","no","telephone","may","wed",333,4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"154",33,"blue-collar","single","basic.9y","unknown","unknown","unknown","telephone","may","wed",150,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"155",44,"management","single","university.degree","unknown","yes","yes","telephone","may","wed",91,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"156",28,"unknown","single","basic.9y","unknown","no","no","telephone","may","wed",298,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"157",36,"admin.","married","high.school","no","no","no","telephone","may","wed",152,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"158",35,"technician","married","basic.6y","no","no","no","telephone","may","wed",104,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"159",36,"services","single","unknown","no","yes","no","telephone","may","wed",852,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"160",56,"entrepreneur","married","university.degree","unknown","yes","no","telephone","may","wed",159,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"161",31,"admin.","single","university.degree","no","yes","yes","telephone","may","wed",174,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"162",30,"management","divorced","high.school","no","no","yes","telephone","may","wed",149,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"163",38,"technician","married","professional.course","no","no","no","telephone","may","wed",216,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"164",44,"admin.","divorced","high.school","unknown","yes","no","telephone","may","wed",800,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"165",24,"services","single","high.school","no","no","no","telephone","may","wed",111,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"166",38,"admin.","married","university.degree","no","no","no","telephone","may","wed",241,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"167",35,"blue-collar","married","unknown","no","yes","yes","telephone","may","wed",52,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"168",42,"admin.","single","unknown","unknown","no","no","telephone","may","wed",126,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"169",46,"admin.","divorced","university.degree","no","yes","no","telephone","may","wed",184,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"170",59,"entrepreneur","divorced","high.school","unknown","yes","no","telephone","may","wed",173,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"171",44,"blue-collar","married","basic.4y","no","yes","no","telephone","may","wed",786,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"172",29,"technician","married","professional.course","no","yes","no","telephone","may","wed",192,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"173",36,"technician","married","professional.course","no","no","no","telephone","may","wed",221,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"174",30,"admin.","single","university.degree","no","no","no","telephone","may","wed",25,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"175",38,"technician","single","professional.course","no","no","no","telephone","may","wed",127,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"176",44,"admin.","married","high.school","no","yes","no","telephone","may","wed",378,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"177",46,"technician","married","professional.course","no","yes","no","telephone","may","wed",144,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"178",34,"technician","divorced","professional.course","no","yes","no","telephone","may","wed",296,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"179",52,"technician","married","basic.4y","unknown","no","no","telephone","may","wed",161,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"180",52,"technician","married","basic.4y","unknown","no","yes","telephone","may","wed",388,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"181",59,"services","divorced","high.school","no","no","no","telephone","may","wed",231,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"182",42,"blue-collar","divorced","basic.6y","unknown","yes","no","telephone","may","wed",107,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"183",40,"blue-collar","married","basic.4y","no","no","no","telephone","may","wed",227,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"184",28,"blue-collar","married","basic.9y","no","no","yes","telephone","may","wed",109,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"185",40,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","wed",68,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"186",45,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","wed",246,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"187",51,"admin.","married","university.degree","no","yes","no","telephone","may","wed",223,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"188",53,"technician","married","high.school","no","yes","no","telephone","may","wed",274,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"189",31,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","wed",121,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"190",38,"blue-collar","married","basic.9y","no","no","no","telephone","may","wed",101,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"191",48,"admin.","married","basic.9y","unknown","no","no","telephone","may","wed",19,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"192",41,"services","divorced","high.school","no","no","yes","telephone","may","wed",516,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"193",43,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","wed",396,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
"194",44,"blue-collar","married","basic.4y","no","yes","no","telephone","may","wed",171,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191.0
